"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2010","10,480.9","10,884.6","10,904.5","10,480.9","0","-3.71%"
"Apr 28, 2010","10,167","10,350.8","10,480.3","10,077.9","0","-1.78%"
"Apr 29, 2010","10,441","10,190.7","10,511.3","10,138.6","0","2.46%"
"Apr 30, 2010","10,492.2","10,477.1","10,648.6","10,382.2","0","0.14%"
"May 03, 2010","10,422.8","10,426.2","10,452.2","10,272","0","-0.03%"
"May 04, 2010","9,859.1","10,363.6","10,411.8","9,812.8","0","-4.87%"
"May 05, 2010","9,635.2","9,864.6","9,904.5","9,505.7","0","-2.33%"
"May 06, 2010","9,352.6","9,539.2","9,837.5","9,267.5","0","-1.96%"
"May 07, 2010","9,046.1","9,175.4","9,568.8","8,925.9","0","-1.41%"
"May 10, 2010","10,351.9","9,059.2","10,351.9","9,058.6","0","14.27%"
"May 11, 2010","10,008.6","10,056.7","10,146.8","9,731.3","0","-0.48%"
"May 12, 2010","10,089.8","9,927.9","10,284.9","9,812.2","0","1.63%"
"May 13, 2010","9,977.5","10,222.5","10,222.5","9,846.3","0","-2.4%"
"May 14, 2010","9,314.7","9,891.1","9,896.8","9,192.6","0","-5.83%"
"May 17, 2010","9,286.1","9,224.3","9,488.4","9,140.5","0","0.67%"
"May 18, 2010","9,627.6","9,480.9","9,716.8","9,419.6","280.33M","1.55%"
"May 19, 2010","9,376.5","9,430.3","9,518.4","9,233.2","292.52M","-0.57%"
"May 20, 2010","9,270.5","9,471.7","9,564.1","9,037.5","323.5M","-2.12%"
"May 21, 2010","9,407.3","9,288.5","9,443.5","9,005.9","468.41M","1.28%"
"May 24, 2010","9,287.9","9,514.8","9,552.3","9,169.8","184.35M","-2.38%"
"May 25, 2010","9,004.4","8,969.9","9,027.4","8,812.1","342.28M","0.38%"
"May 26, 2010","9,042.6","9,156","9,241.8","9,042.6","329.13M","-1.24%"
"May 27, 2010","9,334.9","9,129.5","9,395.1","8,906.8","351.37M","2.25%"
"May 28, 2010","9,425.5","9,452.1","9,492.1","9,372.2","237.54M","-0.28%"
"May 31, 2010","9,359.4","9,346.1","9,403.8","9,328.4","114.24M","0.14%"
"Jun 01, 2010","9,299.7","9,282.2","9,356.2","9,019.4","241.67M","0.19%"
"Jun 02, 2010","9,268","9,212.1","9,304.5","9,031.9","229.31M","0.61%"
"Jun 03, 2010","9,276.2","9,469.7","9,488.8","9,258.3","209.29M","-2.04%"
"Jun 04, 2010","8,923.4","9,289.6","9,315.1","8,881.7","324.04M","-3.94%"
"Jun 07, 2010","8,795.3","8,825.2","8,962.6","8,664","244.84M","-0.34%"
"Jun 08, 2010","8,669.8","8,880.4","8,888.9","8,563.6","263.26M","-2.37%"
"Jun 09, 2010","8,868.7","8,725.9","8,868.7","8,610.6","273.07M","1.64%"
"Jun 10, 2010","9,198.2","8,807.8","9,242.6","8,712.3","291.72M","4.43%"
"Jun 11, 2010","9,561.7","9,276","9,648.7","9,265.7","422.4M","3.08%"
"Jun 14, 2010","9,584","9,662","9,690.7","9,483.7","265.71M","-0.81%"
"Jun 15, 2010","9,742","9,475.8","9,764.9","9,414","256.96M","2.81%"
"Jun 16, 2010","9,683.3","9,803.9","9,838.8","9,572.2","250.8M","-1.23%"
