"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2016","88.2886","87.9000","88.3080","87.6962","-","0.20%"
"Jun 06, 2016","88.1137","87.7802","88.4036","87.7198","-","1.12%"
"Jun 03, 2016","87.1411","86.7478","87.6479","86.6728","-","0.50%"
"Jun 02, 2016","86.7062","86.0794","86.9056","85.7159","-","0.93%"
"Jun 01, 2016","85.9085","85.1260","85.9597","84.6756","-","0.67%"
"May 31, 2016","85.3383","85.5389","86.0376","85.2907","-","-0.15%"
"May 27, 2016","85.4675","85.1616","85.5433","84.9014","-","0.13%"
"May 26, 2016","85.3540","85.3821","85.9365","84.9219","-","0.19%"
"May 25, 2016","85.1889","84.4928","85.2207","84.3780","-","1.21%"
"May 24, 2016","84.1733","84.1565","84.8681","83.8851","-","-0.24%"
"May 23, 2016","84.3763","84.8034","84.9634","84.0794","-","-0.58%"
"May 20, 2016","84.8666","84.8007","85.4845","84.5780","-","0.22%"
"May 19, 2016","84.6832","84.6727","84.7722","83.7232","-","-0.84%"
"May 18, 2016","85.3994","85.8734","85.8859","84.9190","-","-0.37%"
"May 17, 2016","85.7167","85.3487","85.8822","85.0031","-","0.68%"
"May 16, 2016","85.1403","84.6181","85.3488","84.6016","-","0.80%"
"May 13, 2016","84.4663","84.4445","84.6681","83.9546","-","-0.34%"
"May 12, 2016","84.7504","84.6328","85.1344","83.8668","-","0.04%"
"May 11, 2016","84.7138","83.6043","84.7551","83.3720","-","1.62%"
"May 10, 2016","83.3606","81.7657","83.3919","81.7470","-","1.96%"
"May 09, 2016","81.7576","83.5685","83.6018","81.6697","-","-1.96%"
"May 06, 2016","83.3930","82.7840","83.8847","82.4591","-","0.83%"
"May 05, 2016","82.7066","83.7498","84.5411","82.5657","-","-0.78%"
"May 04, 2016","83.3537","83.3726","84.2384","83.0966","-","-0.27%"
"May 03, 2016","83.5775","84.7176","85.2242","83.2808","-","-1.35%"
"May 02, 2016","84.7200","85.3387","85.5653","84.5455","-","-0.94%"
"Apr 29, 2016","85.5205","84.6928","85.7885","84.6904","-","0.80%"
"Apr 28, 2016","84.8377","84.0268","85.0163","83.9161","-","0.63%"
"Apr 27, 2016","84.3090","84.0464","84.4252","83.2347","-","0.56%"
"Apr 26, 2016","83.8387","83.1998","83.8765","82.5652","-","1.16%"
"Apr 25, 2016","82.8806","82.7818","83.4839","82.4404","-","-0.21%"
"Apr 22, 2016","83.0537","83.8510","84.3053","82.9504","-","-0.64%"
"Apr 21, 2016","83.5880","84.0510","85.0733","83.0920","-","-0.70%"
"Apr 20, 2016","84.1773","82.4877","84.2178","81.9612","-","1.84%"
"Apr 19, 2016","82.6543","80.6233","82.6681","80.4627","-","2.45%"
"Apr 18, 2016","80.6782","79.6985","81.0269","79.3370","-","0.36%"
"Apr 15, 2016","80.3927","80.6704","80.7058","79.7094","-","-0.31%"
"Apr 14, 2016","80.6462","80.7915","81.2431","80.4953","-","-0.74%"
"Apr 13, 2016","81.2446","80.8728","81.4471","80.5950","-","0.44%"
"Apr 12, 2016","80.8911","79.2118","80.9217","79.1991","-","2.03%"
"Apr 11, 2016","79.2825","79.0063","79.4009","78.6552","-","0.32%"
"Apr 08, 2016","79.0288","77.7499","79.0592","77.7370","-","2.04%"
"Apr 07, 2016","77.4519","77.8387","77.9862","77.1142","-","-0.25%"
"Apr 06, 2016","77.6481","77.2617","77.8367","76.7958","-","0.88%"
"Apr 05, 2016","76.9725","77.1971","77.3968","76.8004","-","-0.27%"
"Apr 04, 2016","77.1817","77.8009","78.3414","77.1240","-","-0.98%"
"Apr 01, 2016","77.9417","78.7907","78.9527","77.5657","-","-1.12%"
"Mar 31, 2016","78.8272","78.7749","79.5578","78.5628","-","-0.13%"
"Mar 30, 2016","78.9293","79.6003","80.0230","78.8877","-","-0.48%"
"Mar 29, 2016","79.3072","79.4633","79.5264","78.7425","-","-0.22%"
"Mar 28, 2016","79.4835","79.3090","79.5763","79.0792","-","0.29%"
"Mar 24, 2016","79.2517","79.4080","79.5912","78.6795","-","-0.41%"
"Mar 23, 2016","79.5757","81.0209","81.0327","79.5556","-","-2.04%"
"Mar 22, 2016","81.2301","80.5819","81.2491","80.5657","-","0.55%"
"Mar 21, 2016","80.7885","80.5809","81.0707","80.2019","-","0.04%"
"Mar 18, 2016","80.7557","81.4460","81.5700","80.6984","-","-0.66%"
"Mar 17, 2016","81.2888","80.3653","81.3075","80.2408","-","2.12%"
"Mar 16, 2016","79.5999","79.0273","79.6200","78.7547","-","0.99%"
"Mar 15, 2016","78.8207","79.2183","79.2183","78.5470","-","-0.77%"
"Mar 14, 2016","79.4295","79.8551","80.1142","78.8709","-","-0.65%"
